2025-08-18 14:53:09 - root - INFO - 服务器日志系统初始化完成，日志文件: C:\Users\z0054unn\Documents\Siemens-GitLab\Third-party\third-party-clearance\logs\server_20250818_14h53m09s.log
2025-08-18 14:53:09 - uvicorn.error - INFO - Will watch for changes in these directories: ['C:\\Users\\z0054unn\\Documents\\Siemens-GitLab\\Third-party\\third-party-clearance']
2025-08-18 14:53:09 - uvicorn.error - INFO - Uvicorn running on http://127.0.0.1:8000 (Press CTRL+C to quit)
2025-08-18 14:53:09 - uvicorn.error - INFO - Started reloader process [22696] using StatReload
2025-08-18 14:54:27 - uvicorn.error - WARNING - StatReload detected changes in 'back_end\services\chat_service.py'. Reloading...
2025-08-18 15:03:58 - uvicorn.error - WARNING - StatReload detected changes in 'back_end\services\chat_flow.py'. Reloading...
2025-08-18 15:05:56 - uvicorn.error - WARNING - StatReload detected changes in 'back_end\services\chat_flow.py'. Reloading...
2025-08-18 15:06:47 - uvicorn.error - WARNING - StatReload detected changes in 'back_end\services\chat_flow.py'. Reloading...
2025-08-18 15:12:39 - uvicorn.error - WARNING - StatReload detected changes in 'back_end\services\chat_flow.py'. Reloading...
2025-08-18 15:13:18 - uvicorn.error - WARNING - StatReload detected changes in 'back_end\services\chat_flow.py'. Reloading...
2025-08-18 15:13:51 - uvicorn.error - WARNING - StatReload detected changes in 'back_end\services\chat_flow.py'. Reloading...
2025-08-18 15:22:05 - uvicorn.error - WARNING - StatReload detected changes in 'back_end\services\chat_flow.py'. Reloading...
2025-08-18 15:22:29 - uvicorn.error - WARNING - StatReload detected changes in 'back_end\services\chat_flow.py'. Reloading...
2025-08-18 15:38:52 - uvicorn.error - WARNING - StatReload detected changes in 'back_end\services\chat_flow.py'. Reloading...
2025-08-18 15:47:24 - uvicorn.error - WARNING - StatReload detected changes in 'back_end\services\chat_flow.py'. Reloading...
2025-08-18 15:47:51 - uvicorn.error - WARNING - StatReload detected changes in 'back_end\services\chat_flow.py'. Reloading...
2025-08-18 15:48:58 - uvicorn.error - WARNING - StatReload detected changes in 'back_end\services\chat_flow.py'. Reloading...
